Size,Directory,username,unit,value,project,dept
17T,/mnt/gluster/sshin72,sshin72,T,17,statistics_keles,Statistics
14T,/mnt/gluster/nazarovs,nazarovs,T,14,statistics_keles,Statistics
10T,/mnt/gluster/adluru,adluru,T,10,waisman_center,multi-departmental
10T,/mnt/gluster/adluru,adluru,T,10,waisman_alexander,Psychiatry
10T,/mnt/gluster/adluru,adluru,T,10,waisman_alexander,Psychiatry
9.8T,/mnt/gluster/lltraeger,lltraeger,T,9.8,bacteriology_rey,Bacteriology
7.2T,/mnt/gluster/endemann,endemann,T,7.2,anesthesiology_banks,Anesthesiology
7.0T,/mnt/gluster/smgrady,smgrady,T,7,other,other
5.9T,/mnt/gluster/megarcia,megarcia,T,5.9,forestrywildlife_townsend,Forestry and Wildlife Ecology
4.9T,/mnt/gluster/jpmatteson,jpmatteson,T,4.9,genetics_perna,Genetics
4.5T,/mnt/gluster/cvoter,cvoter,T,4.5,cee_loheide,Civil and Environmental Engineering
4.5T,/mnt/gluster/cvoter,cvoter,T,4.5,cee_loheide,Civil and Environmental Engineering
4.1T,/mnt/gluster/adscott4,adscott4,T,4.1,botany_baum,Botany
2.1T,/mnt/gluster/peplab,peplab,T,2.1,,
2.0T,/mnt/gluster/cadangelo,cadangelo,T,2,engrphysics_wilson,Engineering Physics
2.0T,/mnt/gluster/cadangelo,cadangelo,T,2,engrphysics_wilson,Engineering Physics
1.9T,/mnt/gluster/zcohen3,zcohen3,T,1.9,entomology_schoville,Entomology
1.9T,/mnt/gluster/kakes,kakes,T,1.9,anesthesiology_banks,Anesthesiology
1.6T,/mnt/gluster/groups,groups,T,1.6,,
1.5T,/mnt/gluster/pli74,pli74,T,1.5,other,other
1.3T,/mnt/gluster/mouginot,mouginot,T,1.3,engrphysics_wilson,Engineering Physics
1.3T,/mnt/gluster/loperapena,loperapena,T,1.3,pharmacy_kwan,Pharmaceutical Sciences
1.1T,/mnt/gluster/yzheng74,yzheng74,T,1.1,statistics_keles,Statistics
1.0T,/mnt/gluster/ijmiller2,ijmiller2,T,1,pharmacy_kwan,Pharmaceutical Sciences
1.0T,/mnt/gluster/ijmiller2,ijmiller2,T,1,pharmacy_kwan,Pharmaceutical Sciences
990G,/mnt/gluster/hfan22,hfan22,G,990,zoology_ives,Zoology
963G,/mnt/gluster/jwschroeder3,jwschroeder3,G,963,bacteriology_wang,Bacteriology
936G,/mnt/gluster/dspalink,dspalink,G,936,botany_sytsma,Botany
931G,/mnt/gluster/endelman,endelman,G,931,,
839G,/mnt/gluster/twhitman,twhitman,G,839,other,other
830G,/mnt/gluster/amlinz,amlinz,G,830,other,other
714G,/mnt/gluster/mmillican,mmillican,G,714,other,other
628G,/mnt/gluster/tbechtel,tbechtel,G,628,engrphysics_sovinec,Engineering Physics
628G,/mnt/gluster/tbechtel,tbechtel,G,628,engrphysics_sovinec,Engineering Physics
581G,/mnt/gluster/ksgustafson,ksgustafson,G,581,,
544G,/mnt/gluster/nu_haroldye,nu_haroldye,G,544,,
443G,/mnt/gluster/kromano,kromano,G,443,bacteriology_rey,Bacteriology
443G,/mnt/gluster/kromano,kromano,G,443,bacteriology_rey,Bacteriology
385G,/mnt/gluster/jkwan2,jkwan2,G,385,pharmacy_kwan,Pharmaceutical Sciences
385G,/mnt/gluster/aotles,aotles,G,385,other,other
379G,/mnt/gluster/adavis23,adavis23,G,379,engrphysics_wilson,Engineering Physics
379G,/mnt/gluster/adavis23,adavis23,G,379,engrphysics_wilson,Engineering Physics
369G,/mnt/gluster/prall,prall,G,369,,
357G,/mnt/gluster/krweiss,krweiss,G,357,psychiatry_cirelli,Psychiatry
356G,/mnt/gluster/sgoldstein,sgoldstein,G,356,botanymath_staff,multi-departmental
356G,/mnt/gluster/sgoldstein,sgoldstein,G,356,botanymath_staff,multi-departmental
334G,/mnt/gluster/kmontgomery4,kmontgomery4,G,334,pharmacy_kwan,Pharmaceutical Sciences
322G,/mnt/gluster/cdrummond,cdrummond,G,322,botany_systma,Botany
321G,/mnt/gluster/ychuang6,ychuang6,G,321,waisman_vorperian,multi-departmental
321G,/mnt/gluster/mcalvay,mcalvay,G,321,other,other
268G,/mnt/gluster/swang495,swang495,G,268,,
257G,/mnt/gluster/dgshrader,dgshrader,G,257,bacteriology_mcmahon,Bacteriology
236G,/mnt/gluster/csetzke,csetzke,G,236,botany_systma,Botany
202G,/mnt/gluster/erees,erees,G,202,,
189G,/mnt/gluster/toczydlowski,toczydlowski,G,189,botany_waller,Botany
148G,/mnt/gluster/snapieralski,snapieralski,G,148,,
142G,/mnt/gluster/feigl,feigl,G,142,geoscience_feigl,Geoscience
142G,/mnt/gluster/feigl,feigl,G,142,other,other
142G,/mnt/gluster/dwang29,dwang29,G,142,cs_gupta,Computer Sciences
124G,/mnt/gluster/moskvin,moskvin,G,124,other,other
123G,/mnt/gluster/fmoya,fmoya,G,123,wei,multi-departmental
109G,/mnt/gluster/nvaish,nvaish,G,109,cs_wood,Computer Sciences
109G,/mnt/gluster/NCBI_20160608,NCBI_20160608,G,109,,
89G,/mnt/gluster/davoody,davoody,G,89,ece_knezevic,Electrical and Computer Engineering
89G,/mnt/gluster/adoucette,adoucette,G,89,,
80G,/mnt/gluster/data2,data2,G,80,,
74G,/mnt/gluster/sverchkov,sverchkov,G,74,bmi_craven,Biostatistics and Medical Informatics
73G,/mnt/gluster/rlkerby,rlkerby,G,73,bacteriology_rey,Bacteriology
73G,/mnt/gluster/rlkerby,rlkerby,G,73,other,other
71G,/mnt/gluster/eswright,eswright,G,71,wid_biology_vetsigian,Bacteriology
66G,/mnt/gluster/merinoareval,merinoareval,G,66,,
59G,/mnt/gluster/jrose3,jrose3,G,59,botany_systma,Botany
58G,/mnt/gluster/NCBI_db_201409,NCBI_db_201409,G,58,,
57G,/mnt/gluster/tyang29,tyang29,G,57,chemistry_berry,Chemistry
57G,/mnt/gluster/tyang29,tyang29,G,57,chemistry_berry,Chemistry
56G,/mnt/gluster/ebaluyut,ebaluyut,G,56,geoscience_feigl,Geoscience
56G,/mnt/gluster/ebaluyut,ebaluyut,G,56,geoscience_feigl,Geoscience
53G,/mnt/gluster/mfrayer,mfrayer,G,53,chtc,Computer Sciences
53G,/mnt/gluster/ljjacobson,ljjacobson,G,53,engrphysics_wilson,Engineering Physics
53G,/mnt/gluster/ljjacobson,ljjacobson,G,53,engrphysics_wilson,Engineering Physics
52G,/mnt/gluster/yzhang685,yzhang685,G,52,cs_wood,Computer Sciences
44G,/mnt/gluster/bencic,bencic,G,44,,
40G,/mnt/gluster/chtc,chtc,G,40,,
40G,/mnt/gluster/bpeterson26,bpeterson26,G,40,,
39G,/mnt/gluster/sabatzli,sabatzli,G,39,,
39G,/mnt/gluster/jgpower,jgpower,G,39,cs_wood,Computer Sciences
38G,/mnt/gluster/aaswenson,aaswenson,G,38,engrphysics_wilson,Engineering Physics
38G,/mnt/gluster/aaswenson,aaswenson,G,38,other,other
36G,/mnt/gluster/leda,leda,G,36,,
